2024-03-19T07:19:53.057Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T07:42:24.519Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T07:44:24.518Z warp-dns-stats: Queries: 168, Success: 72.6%, TimedOut: 0.0%, NoRecordsFound: 27.4%, Other Error: 0.0%, Avg Duration: 82.22ms
2024-03-19T07:46:24.524Z warp-dns-stats: Queries: 3, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 79.33ms
2024-03-19T07:48:24.529Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T07:50:24.539Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T07:52:24.545Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T07:54:24.559Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T07:56:24.565Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T07:58:24.569Z warp-dns-stats: Queries: 109, Success: 76.1%, TimedOut: 0.0%, NoRecordsFound: 23.9%, Other Error: 0.0%, Avg Duration: 92.27ms
2024-03-19T08:00:24.567Z warp-dns-stats: Queries: 823, Success: 61.4%, TimedOut: 0.0%, NoRecordsFound: 38.6%, Other Error: 0.0%, Avg Duration: 112.50ms
2024-03-19T08:02:24.568Z warp-dns-stats: Queries: 459, Success: 55.3%, TimedOut: 0.0%, NoRecordsFound: 44.7%, Other Error: 0.0%, Avg Duration: 116.60ms
2024-03-19T08:04:24.566Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T08:06:24.566Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T08:06:56.189Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T08:08:56.195Z warp-dns-stats: Queries: 14, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 32.07ms
2024-03-19T08:10:56.207Z warp-dns-stats: Queries: 8, Success: 50.0%, TimedOut: 0.0%, NoRecordsFound: 50.0%, Other Error: 0.0%, Avg Duration: 293.62ms
2024-03-19T08:12:56.207Z warp-dns-stats: Queries: 4, Success: 50.0%, TimedOut: 0.0%, NoRecordsFound: 50.0%, Other Error: 0.0%, Avg Duration: 118.75ms
2024-03-19T08:14:56.223Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T08:16:56.234Z warp-dns-stats: Queries: 4, Success: 50.0%, TimedOut: 0.0%, NoRecordsFound: 50.0%, Other Error: 0.0%, Avg Duration: 75.75ms
2024-03-19T08:18:56.250Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2024-03-19T08:20:56.250Z warp-dns-stats: Queries: 58, Success: 84.5%, TimedOut: 0.0%, NoRecordsFound: 15.5%, Other Error: 0.0%, Avg Duration: 131.41ms
2024-03-19T08:22:56.307Z warp-dns-stats: Queries: 267, Success: 80.9%, TimedOut: 0.4%, NoRecordsFound: 18.4%, Other Error: 0.4%, Avg Duration: 128.83ms
2024-03-19T08:24:56.345Z warp-dns-stats: Queries: 79, Success: 68.4%, TimedOut: 0.0%, NoRecordsFound: 31.6%, Other Error: 0.0%, Avg Duration: 171.19ms
2024-03-19T08:26:56.375Z warp-dns-stats: Queries: 66, Success: 66.7%, TimedOut: 0.0%, NoRecordsFound: 33.3%, Other Error: 0.0%, Avg Duration: 68.35ms
2024-03-19T08:28:56.378Z warp-dns-stats: Queries: 36, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 76.03ms
2024-03-19T08:30:56.377Z warp-dns-stats: Queries: 329, Success: 70.2%, TimedOut: 0.0%, NoRecordsFound: 29.8%, Other Error: 0.0%, Avg Duration: 91.88ms
2024-03-19T08:32:56.375Z warp-dns-stats: Queries: 94, Success: 72.3%, TimedOut: 0.0%, NoRecordsFound: 27.7%, Other Error: 0.0%, Avg Duration: 148.26ms
2024-03-19T08:34:56.383Z warp-dns-stats: Queries: 51, Success: 80.4%, TimedOut: 0.0%, NoRecordsFound: 19.6%, Other Error: 0.0%, Avg Duration: 130.80ms
2024-03-19T08:36:56.409Z warp-dns-stats: Queries: 19, Success: 78.9%, TimedOut: 0.0%, NoRecordsFound: 21.1%, Other Error: 0.0%, Avg Duration: 107.53ms
2024-03-19T08:38:56.411Z warp-dns-stats: Queries: 32, Success: 50.0%, TimedOut: 37.5%, NoRecordsFound: 12.5%, Other Error: 0.0%, Avg Duration: 1605.31ms
