2024-03-19T07:19:43.494Z warp-stats: Time since handshake: 35.00s, tx: 2.05KiB, rx: 0B, loss: 0.0%, latency: 1568ms
2024-03-19T07:42:19.800Z warp-stats: Time since handshake: 10.21s, tx: 6.25KiB, rx: 0B, loss: 0.0%, latency: 301ms
2024-03-19T07:44:19.802Z warp-stats: Time since handshake: 10.17s, tx: 0.68MiB, rx: 4.51MiB, loss: 0.9%, latency: 70ms
2024-03-19T07:46:19.803Z warp-stats: Time since handshake: 17.24s, tx: 0.69MiB, rx: 4.56MiB, loss: 0.0%, latency: 61ms
2024-03-19T07:48:19.816Z warp-stats: Time since handshake: 0.97s, tx: 0.70MiB, rx: 4.56MiB, loss: 0.0%, latency: 75ms
2024-03-19T07:50:19.820Z warp-stats: Time since handshake: 14.64s, tx: 0.70MiB, rx: 4.56MiB, loss: 0.0%, latency: 83ms
2024-03-19T07:52:19.831Z warp-stats: Time since handshake: 12.50s, tx: 0.71MiB, rx: 4.56MiB, loss: 0.0%, latency: 87ms
2024-03-19T07:54:19.840Z warp-stats: Time since handshake: 10.36s, tx: 0.71MiB, rx: 4.56MiB, loss: 0.0%, latency: 66ms
2024-03-19T07:56:19.846Z warp-stats: Time since handshake: 8.69s, tx: 0.72MiB, rx: 4.56MiB, loss: 0.0%, latency: 74ms
2024-03-19T07:58:19.847Z warp-stats: Time since handshake: 37.29s, tx: 1.01MiB, rx: 7.24MiB, loss: 0.1%, latency: 73ms
2024-03-19T08:00:19.851Z warp-stats: Time since handshake: 37.28s, tx: 2.53MiB, rx: 24.49MiB, loss: 3.0%, latency: 79ms
2024-03-19T08:02:19.849Z warp-stats: Time since handshake: 37.21s, tx: 4.27MiB, rx: 63.98MiB, loss: 5.5%, latency: 68ms
2024-03-19T08:04:19.848Z warp-stats: Time since handshake: 7.41s, tx: 4.29MiB, rx: 63.99MiB, loss: 0.0%, latency: 86ms
2024-03-19T08:06:19.848Z warp-stats: Time since handshake: 1.02s, tx: 4.30MiB, rx: 63.99MiB, loss: 0.0%, latency: 93ms
2024-03-19T08:06:55.735Z warp-stats: Time since handshake: 9.51s, tx: 124B, rx: 0B, loss: 0.0%, latency: 325ms
2024-03-19T08:08:55.738Z warp-stats: Time since handshake: 13.20s, tx: 8.91KiB, rx: 11.85KiB, loss: 0.0%, latency: 80ms
2024-03-19T08:10:55.754Z warp-stats: Time since handshake: 0.14s, tx: 63.65KiB, rx: 21.00KiB, loss: 0.0%, latency: 78ms
2024-03-19T08:12:55.770Z warp-stats: Time since handshake: 2.06s, tx: 69.19KiB, rx: 23.12KiB, loss: 0.0%, latency: 69ms
2024-03-19T08:14:55.785Z warp-stats: Time since handshake: 1.11s, tx: 73.39KiB, rx: 23.12KiB, loss: 0.0%, latency: 93ms
2024-03-19T08:16:55.797Z warp-stats: Time since handshake: 7.08s, tx: 79.37KiB, rx: 36.42KiB, loss: 0.0%, latency: 88ms
2024-03-19T08:18:55.812Z warp-stats: Time since handshake: 0.53s, tx: 83.56KiB, rx: 36.42KiB, loss: 0.0%, latency: 87ms
2024-03-19T08:20:55.814Z warp-stats: Time since handshake: 28.68s, tx: 190.97KiB, rx: 0.59MiB, loss: 1.3%, latency: 75ms
2024-03-19T08:22:55.815Z warp-stats: Time since handshake: 43.83s, tx: 1.28MiB, rx: 22.75MiB, loss: 2.7%, latency: 68ms
2024-03-19T08:24:55.814Z warp-stats: Time since handshake: 13.67s, tx: 1.94MiB, rx: 41.72MiB, loss: 1.7%, latency: 96ms
2024-03-19T08:26:55.815Z warp-stats: Time since handshake: 12.90s, tx: 2.34MiB, rx: 45.18MiB, loss: 1.9%, latency: 79ms
2024-03-19T08:28:55.815Z warp-stats: Time since handshake: 117.88s, tx: 2.58MiB, rx: 48.09MiB, loss: 1.6%, latency: 77ms
2024-03-19T08:30:55.815Z warp-stats: Time since handshake: 117.87s, tx: 3.27MiB, rx: 52.93MiB, loss: 0.7%, latency: 72ms
2024-03-19T08:32:55.814Z warp-stats: Time since handshake: 117.67s, tx: 3.89MiB, rx: 60.87MiB, loss: 2.7%, latency: 85ms
2024-03-19T08:34:55.814Z warp-stats: Time since handshake: 78.79s, tx: 6.56MiB, rx: 111.62MiB, loss: 3.6%, latency: 84ms
2024-03-19T08:36:55.814Z warp-stats: Time since handshake: 78.71s, tx: 10.08MiB, rx: 193.83MiB, loss: 3.9%, latency: 130ms
2024-03-19T08:38:55.814Z warp-stats: Time since handshake: 78.63s, tx: 13.66MiB, rx: 276.23MiB, loss: 3.6%, latency: 68ms
2024-03-19T08:40:39.802Z warp-stats: Time since handshake: 15.38s, tx: 72B, rx: 0B, loss: 0.0%, latency: 347ms
2024-03-19T08:41:21.728Z warp-stats: Time since handshake: 11.39s, tx: 0B, rx: 0B, loss: 0.0%, latency: 104ms
2024-03-19T08:41:38.040Z warp-stats: Time since handshake: 7.33s, tx: 0B, rx: 0B, loss: 0.0%, latency: 93ms
